file_id,details_url,title,description,subject,collection,creator,date,rights,format,image_url,filepath,filename,file_size_kb,downloaded_at
890546,https://collections.lib.utah.edu/details?id=890546,Adrenal gland with granulomatous reaction (gumma) to syphilis | Health Education Assets Library (HEAL),This medium power image shows a granuloma in the adrenal gland. The granuloma is a gumma formed during tertiary syphilis.,,,,,,image,https://collections.lib.utah.edu/dl_files/55/07/5507d57b82ad7a13b7c855a6c5f71633bf63dcfc.jpg,data/medical_images/pathology/granuloma/heal_890546.jpg,heal_890546.jpg,435,2026-02-06T17:10:59.202836
871779,https://collections.lib.utah.edu/details?id=871779,"Abscess, aspergillus in SLE patient | Health Education Assets Library (HEAL)",Infarct and granuloma in parietal and occipital.,,,,,,image,https://collections.lib.utah.edu/dl_files/a8/72/a872d9d6b007cbb199234ff098bfb1c9c2ee17ec.jpg,data/medical_images/pathology/granuloma/heal_871779.jpg,heal_871779.jpg,17,2026-02-06T17:11:00.414524
890568,https://collections.lib.utah.edu/details?id=890568,Adrenal gland with granulomatous reaction (gumma) to syphilis | Health Education Assets Library (HEAL),This high power image (20X) shows a granuloma with a giant cell in the adrenal gland. The granuloma is a gumma formed during tertiary syphilis,,,,,,image,https://collections.lib.utah.edu/dl_files/f7/e7/f7e71353d51f3aff1cb033c1e7a6f61de4689e96.jpg,data/medical_images/pathology/granuloma/heal_890568.jpg,heal_890568.jpg,384,2026-02-06T17:11:02.242747
889749,https://collections.lib.utah.edu/details?id=889749,Eosinophilic Granuloma | Health Education Assets Library (HEAL),bone marrow aspirate from site of eosinophilic granuloma,,,,,,image,https://collections.lib.utah.edu/dl_files/e7/3c/e73c518afbc85f1294c718dd67caed8fd6df537b.jpg,data/medical_images/pathology/granuloma/heal_889749.jpg,heal_889749.jpg,231,2026-02-06T17:11:03.819385
889956,https://collections.lib.utah.edu/details?id=889956,Tubercular Granuloma in Bone Marrow | Health Education Assets Library (HEAL),TB granuloma in bone marrow (400x),,,,,,image,https://collections.lib.utah.edu/dl_files/04/5b/045b05cb8fb7f132e94a4cead43916c252e951b2.jpg,data/medical_images/pathology/granuloma/heal_889956.jpg,heal_889956.jpg,275,2026-02-06T17:11:05.595105
889439,https://collections.lib.utah.edu/details?id=889439,Histio-epithelioid Whorl Suggestive of Granuloma in Hodgkin Disease | Health Education Assets Library (HEAL),histio-epithelioid whorl  suggestive of granuloma in Hodgkins patient (400x),,,,,,image,https://collections.lib.utah.edu/dl_files/7b/c1/7bc1339581bb45d8856c8fdb90dbbb3e9da33a78.jpg,data/medical_images/pathology/granuloma/heal_889439.jpg,heal_889439.jpg,148,2026-02-06T17:11:07.177266
889815,https://collections.lib.utah.edu/details?id=889815,Histio-epithelioid Whorl Suggestive of Granuloma in Hodgkin Disease | Health Education Assets Library (HEAL),histio-epitheloid whorl  suggestive of granuloma in Hodgkins patient,,,,,,image,https://collections.lib.utah.edu/dl_files/3d/bc/3dbc3c9f2dd984a0d9a4be4fce3e4ec93e9138b6.jpg,data/medical_images/pathology/granuloma/heal_889815.jpg,heal_889815.jpg,120,2026-02-06T17:11:08.732457
889620,https://collections.lib.utah.edu/details?id=889620,Tubercular Granuloma in Bone Marrow Aspirate | Health Education Assets Library (HEAL),TB granuloma in bone marrow aspirate,,,,,,image,https://collections.lib.utah.edu/dl_files/39/ad/39ad74527da4f8d865664e3d9f626f021bd0e724.jpg,data/medical_images/pathology/granuloma/heal_889620.jpg,heal_889620.jpg,304,2026-02-06T17:11:10.673914
